"student_id" "female" "nonwhite" "rep" "mun_school" "math_prof" "math" "math_bl1" "math_bl2" "lp_prof" "lp" "lp_bl1" "lp_bl2"
"81" 4892106 1 0 0 0 0.460029 19 9 10 0.244263 18 8 10
"82" 4892107 0 0 0 0 0.904056 19 8 11 1.657813 24 12 12
"83" 4892108 0 1 0 0 -0.228307 14 8 6 0.354948 17 9 8
"84" 4892109 0 0 1 0 0.233816 19 9 10 -0.78542 12 6 6
"85" 5592728 1 0 0 0 0.495653 19 8 11 0.822641 22 10 12
"86" 5592729 0 0 1 0 -0.651476 12 5 7 -0.413287 15 8 7
"87" 5592730 0 0 0 0 0.30081 16 10 6 -0.724679 11 5 6
"88" 5592731 1 0 1 0 -0.788455 10 5 5 -0.598752 12 8 4
"89" 5592732 1 0 0 0 1.464226 22 10 12 0.14763 17 8 9
"90" 5592733 0 1 1 0 -0.091358 12 5 7 -0.107399 16 8 8
"91" 226334 0 1 0 0 -1.413468 8 5 3 -0.391336 14 7 7
"92" 226335 1 0 0 0 0.505358 16 7 9 1.004215 23 11 12
"93" 930033 1 0 0 0 0.875638 18 11 7 0.57497 20 12 8
"94" 930034 1 1 0 0 0.875559 21 12 9 1.072362 20 9 11
"95" 930035 1 0 0 0 0.10561 16 6 10 0.352631 19 10 9
"96" 1633854 1 0 0 0 -0.229791 12 5 7 -0.693542 10 4 6
"97" 1633856 1 1 0 0 -0.551495 11 6 5 -1.248797 9 4 5
"98" 2335486 0 0 1 0 0.184162 18 9 9 -0.387805 14 8 6
"99" 3037104 0 1 0 0 -0.61544 9 3 6 -1.156609 10 7 3
"100" 3037105 0 1 0 0 0.36651 15 9 6 1.391147 22 10 12
"101" 3037106 1 1 0 0 0.696618 21 11 10 0.502049 17 9 8
"102" 3037107 0 1 0 0 1.893236 25 12 13 1.291354 24 12 12
"103" 3739718 0 1 0 0 -0.372028 13 9 4 -0.498224 12 7 5
"104" 3739719 0 1 0 0 -0.695211 9 7 2 -0.514155 11 4 7
"105" 3739721 0 1 0 0 -0.015542 16 7 9 -0.109577 17 10 7
"106" 4441414 0 0 1 0 0.20119 14 6 8 0.272535 17 10 7
"107" 4441415 1 1 1 0 0.358035 16 9 7 -0.551965 12 8 4
"108" 4441416 1 1 0 0 0.05792 15 8 7 0.745728 21 12 9
"109" 4441417 1 0 0 0 0.950958 20 12 8 1.232033 22 13 9
"110" 5143802 0 0 0 0 0.256092 15 8 7 0.835607 22 11 11
"111" 5143803 0 0 0 0 0.555046 17 7 10 0.001974 14 9 5
"112" 5143804 1 1 0 0 -0.021975 15 11 4 0.171763 16 8 8
"113" 5143805 0 0 0 0 -1.013322 10 4 6 -0.055002 14 8 6
"114" 5143806 1 1 1 0 -0.810141 9 6 3 0.089667 15 8 7
"115" 614041 0 1 1 0 -0.331385 11 6 5 -1.266446 7 4 3
"116" 614042 0 0 0 0 -0.001938 14 8 6 0.523713 18 7 11
"117" 1316781 1 1 0 0 0.105908 16 9 7 0.72792 19 10 9
"118" 1316782 1 1 0 0 0.511727 18 9 9 -0.126203 17 9 8
"119" 1316783 0 1 0 0 0.45994 15 10 5 0.323457 18 8 10
"120" 2019856 1 1 1 0 0.743428 18 9 9 -0.519731 12 4 8
"121" 2019857 0 0 0 0 -0.084738 15 6 9 0.280524 19 9 10
"122" 2721964 0 1 0 0 0.038659 17 9 8 -0.343237 15 7 8
"123" 3424650 0 0 0 0 -0.381253 12 5 7 1.513847 24 13 11
"124" 3424651 0 0 0 0 0.50723 18 9 9 0.763972 20 10 10
"125" 3424652 1 1 0 0 -0.946992 6 5 1 0.663012 19 11 8
"126" 3424653 0 0 1 0 0.316065 17 9 8 -0.089166 15 6 9
"127" 4125954 0 0 1 0 0.603229 19 9 10 -0.158829 14 9 5
"128" 4125955 1 0 0 0 0.381124 18 8 10 0.803955 20 11 9
"129" 4125956 1 1 1 0 0.138823 16 8 8 1.097754 23 11 12
"130" 4828506 0 1 1 0 -0.750785 9 5 4 -1.472576 6 1 5
"131" 4828507 1 1 1 0 -0.609981 10 4 6 -0.487044 13 7 6
"132" 5529016 1 1 1 0 0.097549 17 9 8 0.171621 17 8 9
"133" 530712 0 1 0 0 -1.10559 7 4 3 -0.152745 16 7 9
"134" 530713 0 1 0 0 -0.468069 13 5 8 -0.983637 10 5 5
"135" 1233995 0 1 0 0 -0.875469 9 4 5 -0.61853 12 5 7
"136" 1233996 0 0 0 0 -0.221216 11 7 4 -0.227739 15 10 5
"137" 1233997 0 1 1 0 -0.388096 12 6 6 -0.797157 10 7 3
"138" 1937581 0 1 0 0 -0.53837 11 5 6 -1.619844 5 3 2
"139" 1937582 0 1 1 0 -0.475488 12 7 5 -0.899186 12 6 6
"140" 1937585 1 0 1 0 -0.982609 9 5 4 -1.089307 9 5 4
"141" 2639136 1 1 1 0 -0.367796 14 7 7 0.523993 19 8 11
"142" 2639137 0 1 0 0 -1.358298 7 4 3 -1.074558 10 4 6
"143" 3341468 0 1 1 0 -1.160485 7 4 3 -1.922477 6 2 4
"144" 3341470 0 1 0 0 0.054233 14 7 7 -0.593364 12 6 6
